视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1he4y1S7GR,559082446,1,数码,1,http://i0.hdslb.com/bfs/archive/5fd1f0fc401cadf6f26d7db4802f071d8c99651f.jpg,年度最危险拍摄！地下300米天坑历险，为了一张照片有多拼？,1665707397,1665716400,为了拍好手机风光样张，这次我们前往拥有奇异天坑的广西，深入地下300米，开启了本年度最危险的一次拍摄...探索深坑不易，别忘了给我们点赞投币！,158796,25273
BV1k8411W7nd,218955825,1,美食侦探,1,http://i1.hdslb.com/bfs/archive/7aa53f1f6a8fa136c22ca86f5a084753fd551eab.jpg,中山. 石岐佬  厨子探店 ¥474,1665560458,1665631800,,953132,75669
BV1914y177KP,774023075,1,美食测评,1,http://i1.hdslb.com/bfs/archive/5662e2a546b6f996830df58d6fe3fb95b9c7b073.jpg,冒死揭秘，网上99元4盒的麻辣生蚝千万别买，必后悔,1665649091,1665649091,-,633363,30346
BV1be4y1q7G9,561421879,1,喵星人,1,http://i1.hdslb.com/bfs/archive/fe4406b31daf23a224098ad6f216bbf9db575155.jpg,突然撸一下猫，会是什么反应？,1665560762,1665560762,-,1001551,86780
BV1EV4y1L7dX,858915492,1,软件应用,1,http://i1.hdslb.com/bfs/archive/6c380d2f3986171806568ff427a7ea6b37b57cb6.jpg,【AI绘画】再次进化！novelai真官网版本解压即用 无需下载！这次1分钟内不用学也能会用,1665468380,1665468380,"本整合包基于naifu制作，打包了cuda和python环境并且修改代码提供了4G小显存、gtx16系也能用的版本！

链接：https://pan.baidu.com/s/1AAHoNYYano6q7XBl3luCcg
提取码关注后私信发送 新整合包",1279351,52558
BV1R84y1B7jw,603991765,1,舞蹈综合,1,http://i0.hdslb.com/bfs/archive/c39d5136e20f3c4bc84bdef56841d0ef8abfec83.jpg,Can’t take my eyes off you完整版视频来啦,1665390026,1665390026,招新现场本人来啦，“律政俏佳人”title不敢当，完整版视频分享给大家～,1934312,204682
BV1se411L7sG,261561759,1,鬼畜调教,1,http://i1.hdslb.com/bfs/archive/43d8f4e98c2177be1f5f6ae3e0b72990c849b33a.jpg,来自印度的ikun,1665583384,1665637500,咖喱鸡，干净又卫生！BGM:Aankhein Khuli,371050,31379
BV1oG411E7Ks,431483931,1,手工,2,http://i1.hdslb.com/bfs/archive/56923173960180333003e0e72f23479ad4edfb36.jpg,“有趣的微观世界，第一个分享给你”,1665552574,1665552573,_,652371,96711
BV1fD4y1k7gz,731533213,1,美食制作,1,http://i2.hdslb.com/bfs/archive/f647fdca4406acca88bf5aa8f0258819ebc11989.jpg,汤清如水，鲜是王道！搭配两种灵魂蘸料，那叫一个香~丨清炖牛肉,1665667058,1665667058,,390719,25936
BV1M14y1E7mx,774103118,1,摩托车,1,http://i2.hdslb.com/bfs/archive/228f9a364faf248ffc80d9e8c4e5964ea0bc57be.jpg,【大头测评】实测宣称一千里续航电动车,1665618558,1665618558,"实测新陵电动车续航版“野牛”
宣称能跑一千里的续航里程
凌晨两点气温5度开始实测
三档满把一镜到底实测续航
没有一台车续航我测不出来
你们一键三连就是我的动力",387822,26506
BV1f14y187R5,773766503,1,手办·模玩,1,http://i0.hdslb.com/bfs/archive/b997b3ff50515ab19b60c10816bbb59a26535848.jpg,花上一个月从零制作等身妮露,1665021562,1665648000,素体是找娃厂自开的，然后试了点新东西，就很有趣,462946,41504
BV1i44y1f7zv,986493513,1,日常,1,http://i0.hdslb.com/bfs/archive/0286d02c6a6d26bb38009d779f75f75e3a5eb289.jpg,全村唯一敢实名上网的男人,1665554367,1665569100,,1694751,85200
BV18N4y1A75D,901381954,1,日常,2,http://i2.hdslb.com/bfs/archive/46ef50eef4a6a862fb76833e9480e2cf5f3b3f30.jpg,一根火柴引发的脑洞，这才是真正的创意！,1665479405,1665489600,okazakitomohiro,758079,81714
BV18d4y117Xa,389062842,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/4555e3e43d594edd363f23344256bcfd06f6ab01.jpg,【电竞星快报】为了营救TES哥，我从2032年穿越回来...（第四季34期）,1665663878,1665663878,大家亏贼星期四的晚上好！抱歉我来晚了,443778,35009
BV1Ke4y1E7ub,646469349,1,综合,2,http://i0.hdslb.com/bfs/archive/8148a922f4d8ff8ad3b351392476d6fddb60989a.png,【𝟒𝐊】电锯人 OP：米津玄師「KICK BACK」【中字】,1665512904,1665520860,"官方
2022年10月 TV动画 《电锯人》主题曲
米津玄師「KICK BACK」",1312574,58341
BV1RG411j7Bd,431609239,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/f87d1a8d8d644326340283c4f552dc457878e0ef.jpg,VN：算了算了一把游戏而已,1665655916,1665655916,额,462298,30623
BV1a44y1f7S3,986480884,1,手办·模玩,1,http://i1.hdslb.com/bfs/archive/c2672382efb4c37e2f715ac0cffe29f07c5ab34a.jpg,【定格动画】两毛特效-棉花保鲜膜做个动态效果，真的是乱漂亮！刑天055驱逐舰,1665316447,1665316447,,668112,114590
BV1FP411E73h,304032375,1,网络游戏,1,http://i2.hdslb.com/bfs/archive/b000a574f0cfd267edb790ea748b1dc0bfa63ca1.jpg,萌新撒手3 ：“你的满命凌华不如我三个鸡蛋”,1665707163,1665707163,"记得给下免费的点赞，1W点赞更新下一期

每天日更别忘点关注哦

主播直播间http://live.bilibili.com/8324350欢迎每天来看

是一名敬业且经常更新且绝不摆烂的勤奋主播！！！",215867,13408
BV19g411Y7LB,516391840,1,搞笑,1,http://i2.hdslb.com/bfs/archive/ca3fac8abda46e79da370c17b90f486b13d5f58b.jpg,街头沙发实验，你会来坐吗？,1665315359,1665315359,我背着一个黄色沙发走上街头，走上天桥，走在公交站，如果你愿意，可以坐下来和我聊聊天，发发呆，把这儿当你的客厅就好！,4151480,530975
BV1TB4y177Mu,603958774,1,搞笑,1,http://i1.hdslb.com/bfs/archive/d34474c59943b0b10b6a7f6867b86721c2eeda13.jpg,我和张翰的爱情故事,1665559723,1665559723,我和张翰的爱情故事，小样油不得你,703669,49997
BV15e4y1E74M,646499327,1,汽车生活,1,http://i2.hdslb.com/bfs/archive/8ad64108feac31d9adf1989dfc9154deee74d7d2.jpg,只要速度开的快，轿车也能开出越野的性能！,1665278905,1665278904,只要速度够快，什么都不是事儿。,1872460,25837
