coin,favor,forward,list,name,thumb,view
95000.0,95180000.0,25650000.0,"英雄联盟,游戏,电子竞技,电子竞技,LOL,云顶S7.5,三星泰拉,佐伊,泰拉,香菇滑鸡",所以这波吃到天使大招的土龙，会有多帅？,87000.0,836000.0
26420000.0,92190000.0,76460000.0,"汪星人,萌宠,动物圈,汪星人,动物观察局·心动的信号",再遛遛狗命没了,170000.0,1117000.0
34650000.0,14000.0,54150000.0,"美国,吃货,美食,美食,美食记录,美式,薯条,餐厅,国外美食,Vlog",今儿去打卡拉斯维加斯一家美式薯条餐厅！你们觉得这100刀花的值吗？,197000.0,1317000.0
16000.0,29820000.0,38550000.0,"运动,健身",比完了，级别第五，对手很优秀，我继续努力，谢谢各位粉丝的支持。,159000.0,1897000.0
151000.0,1305000.0,26000.0,"科技,软件应用,数码,APP,APP推荐,神器",这五个神器确实强大……,694000.0,4613000.0
coin,favor,forward,list,name,thumb,view
74000.0,43000.0,26000.0,"冷兵器,运动,运动综合,武术,赵文卓",【赵文卓踢刀】我真的劝了卓哥好久才勉强答应我说：那这次就不放剑气了吧！,348000.0,4948000.0
69670000.0,33000.0,19000.0,"社会,社会",当得了诺贝尔奖后第一天上班全场掌声雷动，然后…,352000.0,2876000.0
44000.0,19000.0,49940000.0,"搞笑,生活,搞笑,恶搞,高能,原创,搞笑视频,生活,娱乐,搞笑研究所8.0,沙雕,整活",外卖小哥：这是你点的啵啵奶茶哦！,236000.0,2015000.0
89240000.0,17000.0,26600000.0,"美食,美食制作,Vlog",我本以为手打大铁锅已经是我的极限了，直到我遇到了手打牛肉丸....,274000.0,3208000.0
194000.0,141000.0,76000.0,"王心凌,周淑怡,明星舞蹈,舞蹈,明星舞蹈,舞蹈,咬人猫,回忆杀,甜心,甜美,Cyndi,欣小萌",【周淑怡x咬人猫x欣小萌】❤️三人一起！爱你！,469000.0,6810000.0
118000.0,35000.0,91870000.0,"美国,历史,知识,人文历史,苏联,战争,古巴,美洲,格林纳达",哪国总理登上过UFO？【奇葩小国41】,208000.0,2342000.0
